XM_036295535.1	ARHGEF40
XM_036295536.1	LOC118648934
XM_036295537.1	PLAAT5
XM_036295538.1	LBHD1
XM_036295539.1	ARHGEF40
XM_036295540.1	LOC118648938
XM_036295541.1	BEST1
XM_036295542.1	LOC118648940
XM_036295543.1	TMEM132A
XM_036295544.1	ZP1
XM_036295545.1	LOC118648943
XM_036295546.1	ARHGEF40
XM_036295547.1	LOC118648944
XM_036295548.1	MUC5B
XM_036295549.1	MUC5AC
XM_036295550.1	MUC2
XM_036295551.1	MUC6
XM_036295552.1	LMNTD2
XM_036295553.1	NLRP6
XM_036295554.1	ARHGEF40
XM_036295555.1	LOC118648952
XM_036295556.1	SCT
XM_036295557.1	LOC118648954
XM_036295558.1	HNRNPUL2
XM_036295559.1	BSCL2
XM_036295560.1	ARHGEF40
XM_036295561.1	BSCL2
XM_036295562.1	BSCL2
XM_036295563.1	BSCL2
XM_036295564.1	BSCL2
XM_036295565.1	BSCL2
XM_036295566.1	LOC118648923
XM_036295567.1	BSCL2
XM_036295568.1	BSCL2
XM_036295569.1	BSCL2
XM_036295570.1	GNG3
XM_036295571.1	EML3
XM_036295572.1	EML3
XM_036295573.1	MTA2
XM_036295574.1	ROM1
XM_036295575.1	ZNF219
XM_036295576.1	B3GAT3
XM_036295577.1	B3GAT3
XM_036295578.1	LRRC56
XM_036295579.1	RNH1
XM_036295580.1	RNH1
XM_036295581.1	HRAS
XM_036295582.1	HRAS
XM_036295583.1	HRAS
XM_036295584.1	ZNF219
XM_036295585.1	RIC8A
XM_036295586.1	RIC8A
XM_036295587.1	RIC8A
XM_036295588.1	RIC8A
XM_036295589.1	PSMD13
XM_036295590.1	SIRT3
XM_036295591.1	SIRT3
XM_036295592.1	SIRT3
XM_036295593.1	ZNF219
XM_036295594.1	SIRT3
XM_036295595.1	SIRT3
XM_036295596.1	SIRT3
XM_036295597.1	SIRT3
XM_036295598.1	SIRT3
XM_036295599.1	PHRF1
XM_036295600.1	PHRF1
XM_036295601.1	ZNF219
XM_036295602.1	PHRF1
XM_036295603.1	PHRF1
XM_036295604.1	PHRF1
XM_036295605.1	PHRF1
XM_036295606.1	PHRF1
XM_036295607.1	PHRF1
XM_036295608.1	PHRF1
XM_036295609.1	PHRF1
XM_036295610.1	PHRF1
XM_036295611.1	PHRF1
XM_036295612.1	ZNF219
XM_036295613.1	PHRF1
XM_036295614.1	PHRF1
XM_036295615.1	IRF7
XM_036295616.1	IRF7
XM_036295617.1	IRF7
XM_036295618.1	IRF7
XM_036295619.1	CPSF7
XM_036295620.1	CPSF7
XM_036295621.1	CPSF7
XM_036295622.1	CPSF7
XM_036295623.1	SDHAF2
XM_036295624.1	SDHAF2
XM_036295625.1	TMEM253
XM_036295626.1	CARS1
XM_036295627.1	CARS1
XM_036295628.1	CARS1
XM_036295629.1	LOC118648977
XM_036295630.1	LOC118648977
XM_036295631.1	LOC118648977
XM_036295632.1	LOC118648977
XM_036295633.1	LOC118648977
XM_036295634.1	LOC118648977
XM_036295635.1	LOC118648979
XM_036295636.1	LOC118648979
XM_036295637.1	LOC118648979
XM_036295638.1	LOC118648979
XM_036295639.1	LOC118648979
XM_036295640.1	RNASE7
XM_036295641.1	LOC118648979
XM_036295642.1	LOC118648979
XM_036295643.1	LOC118648979
XM_036295644.1	LOC118648981
XM_036295645.1	LOC118648982
XM_036295646.1	LOC118648983
XM_036295647.1	LOC118648984
XM_036295648.1	LOC118648987
XM_036295649.1	CSKMT
XM_036295650.1	CSKMT
XM_036295651.1	UBXN1
XM_036295652.1	CUNH11orf98
XM_036295653.1	LOC118648991
XM_036295654.1	SLC3A2
XM_036295655.1	PNPLA2
XM_036295656.1	TPPP2
XM_036295657.1	CRACR2B
XM_036295658.1	CRACR2B
XM_036295659.1	CRACR2B
XM_036295660.1	CRACR2B
XM_036295661.1	CRACR2B
XM_036295662.1	RPLP2
XM_036295663.1	FADS3
XM_036295664.1	FADS2
XM_036295665.1	FADS1
XM_036295666.1	FEN1
XM_036295667.1	TMEM258
XM_036295668.1	RNASE13
XM_036295669.1	ANO9
XM_036295670.1	ANO9
XM_036295671.1	ANO9
XM_036295672.1	ANO9
XM_036295673.1	SIGIRR
XM_036295674.1	SIGIRR
XM_036295675.1	SIGIRR
XM_036295676.1	SIGIRR
XM_036295677.1	SIGIRR
XM_036295678.1	SIGIRR
XM_036295679.1	SIGIRR
XM_036295680.1	METTL17
XM_036295681.1	AHNAK
XM_036295682.1	AHNAK
XM_036295683.1	AHNAK
XM_036295684.1	AHNAK
XM_036295685.1	AHNAK
XM_036295686.1	PKP3
XM_036295687.1	METTL17
XM_036295688.1	B4GALNT4
XM_036295689.1	B4GALNT4
XM_036295690.1	B4GALNT4
XM_036295691.1	LOC118649014
XM_036295692.1	SAMD15
XM_036295693.1	NXF1
XM_036295694.1	NXF1
XM_036295695.1	NXF1
XM_036295696.1	NXF1
XM_036295697.1	NXF1
XM_036295698.1	NXF1
XM_036295699.1	TMEM223
XM_036295700.1	EPS8L2
XM_036295701.1	EPS8L2
XM_036295702.1	NDRG2
XM_036295703.1	DEAF1
XM_036295704.1	DEAF1
XM_036295705.1	DEAF1
XM_036295706.1	DEAF1
XM_036295707.1	DRD4
XM_036295708.1	TMEM80
XM_036295709.1	LOC118649022
XM_036295710.1	LOC118649022
XM_036295711.1	NDRG2
XM_036295712.1	SLC15A3
XM_036295713.1	EEF1G
XM_036295714.1	GANAB
XM_036295715.1	GANAB
XM_036295716.1	PTDSS2
XM_036295717.1	PTDSS2
XM_036295718.1	NDRG2
XM_036295719.1	TAF6L
XM_036295720.1	TAF6L
XM_036295721.1	TAF6L
XM_036295722.1	TAF6L
XM_036295723.1	TMEM179B
XM_036295724.1	POLR2G
XM_036295725.1	POLR2G
XM_036295726.1	FTH1
XM_036295727.1	NDRG2
XM_036295728.1	VPS37C
XM_036295729.1	VPS37C
XM_036295730.1	VPS37C
XM_036295731.1	STX5
XM_036295732.1	TALDO1
XM_036295733.1	CEND1
XM_036295734.1	CEND1
XM_036295735.1	CEND1
XM_036295736.1	NDRG2
XM_036295737.1	PRPF19
XM_036295738.1	PRPF19
XM_036295739.1	PRPF19
XM_036295740.1	CD151
XM_036295741.1	TMEM109
XM_036295742.1	TMEM109
XM_036295743.1	DDB1
XM_036295744.1	NDRG2
XM_036295745.1	DDB1
XM_036295746.1	TKFC
XM_036295747.1	TKFC
XM_036295748.1	TKFC
XM_036295749.1	TKFC
XM_036295750.1	TKFC
XM_036295751.1	TKFC
XM_036295752.1	LOC118649042
XM_036295753.1	LOC118649042
XM_036295754.1	NDRG2
XM_036295755.1	LOC118649042
XM_036295756.1	LOC118649042
XM_036295757.1	LOC118649042
XM_036295758.1	LOC118649042
XM_036295759.1	LOC118649042
XM_036295760.1	LOC118649042
XM_036295761.1	LOC118649042
XM_036295762.1	LOC118649042
XM_036295763.1	LOC118649042
XM_036295764.1	LOC118649042
XM_036295765.1	NDRG2
XM_036295766.1	LOC118649042
XM_036295767.1	LOC118649042
XM_036295768.1	TMEM138
XM_036295769.1	TMEM138
XM_036295770.1	TMEM138
XM_036295771.1	INTS5
XM_036295772.1	PTGDR2
XM_036295773.1	PTGDR2
XM_036295774.1	PTGDR2
XM_036295775.1	NDRG2
XM_036295776.1	CCDC86
XM_036295777.1	MS4A10
XM_036295778.1	MS4A10
XM_036295779.1	BET1L
XM_036295780.1	SYT7
XM_036295781.1	SYT7
XM_036295782.1	SYT7
XM_036295783.1	SYT7
XM_036295784.1	NDRG2
XM_036295785.1	SYT7
XM_036295786.1	WDR74
XM_036295787.1	WDR74
XM_036295788.1	WDR74
XM_036295789.1	WDR74
XM_036295790.1	WDR74
XM_036295791.1	LOC118649052
XM_036295792.1	TUT1
XM_036295793.1	TUT1
XM_036295794.1	TUT1
XM_036295795.1	KCNQ1
XM_036295796.1	LOC118649056
XM_036295797.1	SLC39A2
XM_036295798.1	LOC118649056
XM_036295799.1	LOC118649056
XM_036295800.1	LOC118649056
XM_036295801.1	RAB3IL1
XM_036295802.1	RAB3IL1
XM_036295803.1	RAB3IL1
XM_036295804.1	RAB3IL1
XM_036295805.1	RAB3IL1
XM_036295806.1	RAB3IL1
XM_036295807.1	SLC39A2
XM_036295808.1	RAB3IL1
XM_036295809.1	RAB3IL1
XM_036295810.1	RAB3IL1
XM_036295811.1	LOC118649058
XM_036295812.1	LOC118649058
XM_036295813.1	PIDD1
XM_036295814.1	PIDD1
XM_036295815.1	SLC39A2
XM_036295816.1	SLC25A22
XM_036295817.1	SLC25A22
XM_036295818.1	SLC25A22
XM_036295819.1	SLC25A22
XM_036295820.1	SLC25A22
XM_036295821.1	SLC25A22
XM_036295822.1	SLC25A22
XM_036295823.1	SLC25A22
XM_036295824.1	SLC25A22
XM_036295825.1	LOC118649061
XM_036295826.1	ASRGL1
XM_036295827.1	ASRGL1
XM_036295828.1	SCGB1C1
XM_036295829.1	LOC118649062
XM_036295830.1	SHANK2
XM_036295831.1	SHANK2
XM_036295832.1	AP2A2
XM_036295833.1	AP2A2
XM_036295834.1	AP2A2
XM_036295835.1	CTTN
XM_036295836.1	CTTN
XM_036295837.1	CTTN
XM_036295838.1	CTTN
XM_036295839.1	TSPAN4
XM_036295840.1	TSPAN4
XM_036295841.1	TSPAN4
XM_036295842.1	TSPAN4
